1	/	INSERT#INSERT	move
2	/	INTO#INTO	move
3	115	into#IDN	reduction
4	114	insertKeyword#IDN	reduction
5	/	IDN#IDN	move
6	47	uid#VALUES	reduction
7	43	tableName#VALUES	reduction
8	/	VALUES#VALUES	move
9	118	insertFormat#(	reduction
10	/	(#(	move
11	/	INT#INT	move
12	83	decimalLiteral#,	reduction
13	79	constant#,	reduction
14	74	expressionAtom#,	reduction
15	73	predicateRight#,	reduction
16	71	predicate#,	reduction
17	60	expressionRight#,	reduction
18	57	expression#,	reduction
19	126	expressionOrDefault#,	reduction
20	/	,#,	move
21	/	FLOAT#FLOAT	move
22	82	decimalLiteral#,	reduction
23	79	constant#,	reduction
24	74	expressionAtom#,	reduction
25	73	predicateRight#,	reduction
26	71	predicate#,	reduction
27	60	expressionRight#,	reduction
28	57	expression#,	reduction
29	126	expressionOrDefault#,	reduction
30	/	,#,	move
31	/	STRING#STRING	move
32	96	stringLiteral#)	reduction
33	78	constant#)	reduction
34	74	expressionAtom#)	reduction
35	73	predicateRight#)	reduction
36	71	predicate#)	reduction
37	60	expressionRight#)	reduction
38	57	expression#)	reduction
39	126	expressionOrDefault#)	reduction
40	125	expressionOrDefaultListRec#)	reduction
41	124	expressionOrDefaultListRec#)	reduction
42	124	expressionOrDefaultListRec#)	reduction
43	122	expressionsWithDefaults#)	reduction
44	/	)#)	move
45	121	expressionsWithDefaultsListRec##	reduction
46	117	insertStatementValue##	reduction
47	112	insertStatementRight##	reduction
48	111	insertStatement##	reduction
49	2	dmlStatement##	reduction
50	/	#	accept
